date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-06-27,SD,CIN,-7,1,-8,0,Dylan Cease,Nick Martinez
2025-06-28,SD,CIN,2,6,-1,3,Randy Vasquez,Andrew Abbott
2025-06-29,SD,CIN,-1,2,0,1,Stephen Kolek,Nick Lodolo
2025-06-30,SD,PHI,-4,0,-4,0,Matt Waldron,Zack Wheeler
2025-07-02,SD,PHI,1,6,2,6,Nick Pivetta,Mick Abel
2025-07-04,SD,TEX,1,3,0,2,Randy Vasquez,Kumar Rocker
2025-07-05,SD,TEX,-3,4,-4,2,Stephen Kolek,Patrick Corbin
2025-07-06,SD,TEX,3,4,2,3,David Morgan,Jack Leiter
2025-07-07,SD,AZ,-3,3,-3,1,Yu Darvish,Zac Gallen
2025-07-08,SD,AZ,1,1,0,0,Nick Pivetta,Merrill Kelly
2025-07-09,SD,AZ,-6,2,-5,1,Dylan Cease,Brandon Pfaadt
2025-07-10,SD,AZ,1,4,2,4,Randy Vasquez,Eduardo Rodriguez
