hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
PIT,MIA,0.9130434780804262,0.08695652191957381,-1.0,,,2024-09-11T16:35:00.0000000Z
CWS,CLE,0.3249687534328628,0.6750312465671372,7.5,,,2024-09-11T18:11:36.0000000Z
TOR,NYM,0.47391341595118586,0.5260865840488141,7.5,Bowden Francis,Sean Manaea,2024-09-11T19:07:00.0000000Z
ARI,TEX,0.5996387716075958,0.4003612283924042,8.5,Merrill Kelly,Cody Bradford,2024-09-11T19:40:00.0000000Z
PHI,TB,0.6805555548308899,0.3194444451691101,7.5,Zack Wheeler,Shane Baz,2024-09-11T22:40:00.0000000Z
DET,COL,0.630940342760865,0.36905965723913503,8.0,Casey Mize,Tanner Gordon,2024-09-11T22:40:00.0000000Z
WAS,ATL,0.38356164451116537,0.6164383554888346,8.0,Jake Irvin,Max Fried,2024-09-11T22:45:00.0000000Z
NYY,KC,0.5720596349287028,0.4279403650712972,8.0,Luis Gil,Cole Ragans,2024-09-11T23:05:00.0000000Z
BOS,BAL,0.5634920623536956,0.4365079376463043,9.5,Nick Pivetta,Dean Kremer,2024-09-11T23:10:00.0000000Z
MIN,LAA,0.644729178499835,0.35527082150016503,9.0,Zebby Matthews,Jack Kochanowicz,2024-09-11T23:10:00.0000000Z
STL,CIN,0.5634920623536956,0.4365079376463043,8.0,Lance Lynn,Brandon Williamson,2024-09-11T23:45:00.0000000Z
HOU,OAK,0.6853932584269662,0.31460674157303375,8.0,Hunter Brown,Joey Estes,2024-09-12T00:10:00.0000000Z
SEA,SD,0.5,0.5,7.0,Bryan Woo,Michael King,2024-09-12T01:40:00.0000000Z
SF,MIL,0.5634920623536956,0.4365079376463043,7.0,Blake Snell,Colin Rea,2024-09-12T01:45:00.0000000Z
LAD,CHC,0.6037569700561242,0.39624302994387584,9.0,Bobby Miller,Jordan Wicks,2024-09-12T02:10:00.0000000Z
