hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
PIT,PHI,0.25503355754695733,0.7449664424530427,9.5,,,2024-07-21T17:35:00.0000000Z
WAS,CIN,0.4284750338346026,0.5715249661653974,8.5,,,2024-07-21T17:35:00.0000000Z
ATL,STL,0.3712871287128713,0.6287128712871287,8.5,,,2024-07-21T17:36:42.0000000Z
NYY,TB,0.5407914007308465,0.4592085992691534,8.5,,,2024-07-21T17:37:00.0000000Z
TOR,DET,0.669302659219077,0.3306973407809231,7.5,,,2024-07-21T17:37:00.0000000Z
MIA,NYM,0.46938775521032905,0.530612244789671,6.5,,,2024-07-21T17:40:20.0000000Z
CLE,SD,0.3194321215197825,0.6805678784802175,8.5,,,2024-07-21T17:40:41.0000000Z
MIN,MIL,0.5893794378798224,0.4106205621201776,6.5,,,2024-07-21T17:52:00.0000000Z
KC,CWS,0.6690070208618835,0.3309929791381165,8.0,Seth Lugo,Drew Thorpe,2024-07-21T18:10:00.0000000Z
CHC,ARI,0.5427435386594943,0.4572564613405057,7.0,Shota Imanaga,Brandon Pfaadt,2024-07-21T18:20:00.0000000Z
TEX,BAL,0.5514411134008372,0.4485588865991628,9.0,Andrew Heaney,Dean Kremer,2024-07-21T18:35:00.0000000Z
COL,SF,0.43650793764630424,0.5634920623536958,10.0,Ryan Feltner,Hayden Birdsong,2024-07-21T19:10:00.0000000Z
OAK,LAA,0.5324675324675324,0.4675324675324676,9.0,Joey Estes,Carson Fulmer,2024-07-21T20:07:00.0000000Z
SEA,HOU,0.5108342368128271,0.48916576318717286,7.5,Bryan Woo,Ronel Blanco,2024-07-21T20:10:00.0000000Z
LAD,BOS,0.5173641257223942,0.48263587427760585,9.0,James Paxton,Kutter Crawford,2024-07-21T23:10:00.0000000Z
