hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
MIN,COL,0.6750312465671372,0.3249687534328628,8.0,Pablo Lopez,Austin Gomber,2024-06-12T17:10:00.0000000Z
MIL,TOR,0.5,0.5,8.5,Tobias Myers,Chris Bassitt,2024-06-12T18:10:00.0000000Z
SF,HOU,0.5108342368128271,0.48916576318717286,7.5,Logan Webb,Framber Valdez,2024-06-12T19:45:00.0000000Z
SD,OAK,0.630940342760865,0.36905965723913503,8.0,Michael King,Hogan Harris,2024-06-12T20:10:00.0000000Z
BAL,ATL,0.5427435386594943,0.4572564613405057,9.0,Cade Povich,Spencer Schwellenbach,2024-06-12T22:35:00.0000000Z
DET,WAS,0.5514411134008372,0.4485588865991628,7.5,Reese Olson,Jake Irvin,2024-06-12T22:40:00.0000000Z
TB,CHC,0.5217391295274103,0.47826087047258975,7.5,Aaron Civale,Javier Assad,2024-06-12T22:50:00.0000000Z
NYM,MIA,0.5829926396165348,0.41700736038346525,7.5,David Peterson,Braxton Garrett,2024-06-12T23:10:00.0000000Z
CIN,CLE,0.5217391295274103,0.47826087047258975,8.5,Nick Lodolo,Tanner Bibee,2024-06-12T23:10:00.0000000Z
BOS,PHI,0.47391341595118586,0.5260865840488141,8.5,Nick Pivetta,Cristopher Sanchez,2024-06-12T23:10:00.0000000Z
STL,PIT,0.6092362331597097,0.39076376684029035,8.0,Sonny Gray,Bailey Falter,2024-06-12T23:45:00.0000000Z
SEA,CWS,0.6805555548308899,0.3194444451691101,7.5,Bryce Miller,Jonathan Cannon,2024-06-13T01:40:00.0000000Z
ARI,LAA,0.5720596349287028,0.4279403650712972,9.0,Slade Cecconi,Jose Soriano,2024-06-13T01:40:00.0000000Z
