hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
PIT,MIN,0.4572564613405057,0.5427435386594943,8.0,Mitch Keller,Joe Ryan,2024-06-07T22:40:00.0000000Z
DET,MIL,0.5108342368128271,0.48916576318717286,8.0,Reese Olson,Tobias Myers,2024-06-07T22:40:00.0000000Z
WAS,ATL,0.3630958190663881,0.6369041809336119,7.5,Jake Irvin,Chris Sale,2024-06-07T22:45:00.0000000Z
TB,BAL,0.5108342368128271,0.48916576318717286,8.5,Aaron Civale,Cole Irvin,2024-06-07T22:50:00.0000000Z
NYY,LAD,0.43650793764630424,0.5634920623536958,9.0,Cody Poteet,Yoshinobu Yamamoto,2024-06-07T23:05:00.0000000Z
MIA,CLE,0.48916576318717286,0.5108342368128271,7.5,Ryan Weathers,Logan Allen (CLE),2024-06-07T23:10:00.0000000Z
CIN,CHC,0.5427435386594943,0.4572564613405057,8.5,Nick Lodolo,Justin Steele,2024-06-07T23:10:00.0000000Z
TEX,SF,0.4782608704725898,0.5217391295274102,8.0,Michael Lorenzen,Logan Webb,2024-06-08T00:05:00.0000000Z
CWS,BOS,0.5043297536554499,0.49567024634455015,8.0,Garrett Crochet,Cooper Criswell,2024-06-08T00:10:00.0000000Z
KC,SEA,0.4572564613405057,0.5427435386594943,9.0,Daniel Lynch,Bryce Miller,2024-06-08T00:10:00.0000000Z
STL,COL,0.6224665504181792,0.3775334495818207,7.5,Lance Lynn,Austin Gomber,2024-06-08T00:15:00.0000000Z
LAA,HOU,0.40663024724038055,0.5933697527596195,8.5,Griffin Canning,Framber Valdez,2024-06-08T01:38:00.0000000Z
OAK,TOR,0.39624302994387584,0.6037569700561242,8.0,Hogan Harris,Chris Bassitt,2024-06-08T01:40:00.0000000Z
SD,ARI,0.5324675324675324,0.4675324675324676,7.0,Michael King,Brandon Pfaadt,2024-06-08T01:40:00.0000000Z
