hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
TB,SEA,0.4782608704725898,0.5217391295274102,7.5,Ryan Pepiot,George Kirby,2024-06-26T16:10:00.0000000Z
DET,PHI,0.38356164451116537,0.6164383554888346,9.0,,Spencer Turnbull,2024-06-26T17:10:00.0000000Z
CIN,PIT,0.5514411134008372,0.4485588865991628,9.5,Graham Ashcraft,Luis Ortiz (PIT),2024-06-26T17:10:00.0000000Z
STL,ATL,0.4675324675324676,0.5324675324675324,8.0,Kyle Gibson,Reynaldo Lopez,2024-06-26T17:45:00.0000000Z
HOU,COL,0.6369041809336118,0.36309581906638816,8.0,Spencer Arrighetti,Ryan Feltner,2024-06-26T18:10:00.0000000Z
MIL,TEX,0.5043297536554499,0.49567024634455015,8.0,Colin Rea,Nathan Eovaldi,2024-06-26T18:10:00.0000000Z
KC,MIA,0.6574752256290606,0.3425247743709395,9.0,Brady Singer,Valente Bellozo,2024-06-26T18:10:00.0000000Z
LAA,OAK,0.5324675324675324,0.4675324675324676,9.0,Roansy Contreras,Joey Estes,2024-06-26T20:07:00.0000000Z
SD,WAS,0.630940342760865,0.36905965723913503,7.5,Dylan Cease,DJ Herz,2024-06-26T20:10:00.0000000Z
BAL,CLE,0.630940342760865,0.36905965723913503,9.5,Grayson Rodriguez,Carlos Carrasco,2024-06-26T22:35:00.0000000Z
NYM,NYY,0.4279403650712972,0.5720596349287028,8.5,Sean Manaea,Luis Gil,2024-06-26T23:10:00.0000000Z
BOS,TOR,0.5829926396165348,0.41700736038346525,9.5,Kutter Crawford,Yariel Rodriguez,2024-06-26T23:10:00.0000000Z
CWS,LAD,0.38356164451116537,0.6164383554888346,8.5,Erick Fedde,Gavin Stone,2024-06-27T00:10:00.0000000Z
ARI,MIN,0.4782608704725898,0.5217391295274102,9.0,Ryne Nelson,Simeon Woods Richardson,2024-06-27T01:40:00.0000000Z
SF,CHC,0.5427435386594943,0.4572564613405057,7.5,Hayden Birdsong,,2024-06-27T01:45:00.0000000Z
