hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
NYY,CLE,0.5992714012402083,0.4007285987597918,4.5,,,2024-08-22T17:05:00.0000000Z
WAS,COL,0.7905405394722425,0.2094594605277575,6.5,,,2024-08-22T17:05:00.0000000Z
STL,MIL,0.4572564613405057,0.5427435386594943,8.0,Miles Mikolas,Freddy Peralta,2024-08-22T18:15:00.0000000Z
CHC,DET,0.630940342760865,0.36905965723913503,7.5,Justin Steele,,2024-08-22T18:20:00.0000000Z
OAK,TB,0.4675324675324676,0.5324675324675324,7.5,Osvaldo Bido,Jeffrey Springs,2024-08-22T19:37:00.0000000Z
PIT,CIN,0.5634920623536956,0.4365079376463043,7.5,Paul Skenes,Nick Lodolo,2024-08-22T22:40:00.0000000Z
TOR,LAA,0.5829926396165348,0.41700736038346525,9.0,Ryan Burr,,2024-08-22T23:07:00.0000000Z
BAL,HOU,0.5829926396165348,0.41700736038346525,8.0,Corbin Burnes,Spencer Arrighetti,2024-08-22T23:08:00.0000000Z
ATL,PHI,0.5108342368128271,0.48916576318717286,7.5,Spencer Schwellenbach,Cristopher Sanchez,2024-08-22T23:08:00.0000000Z
SD,NYM,0.5829926396165348,0.41700736038346525,7.5,Dylan Cease,Luis Severino,2024-08-23T01:40:00.0000000Z
