hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
PIT,CHC,0.8284518827065352,0.17154811729346475,19.5,,,2024-05-11T20:05:00.0000000Z
PIT,CHC,0.9697528587000105,0.03024714129998948,11.5,,,2024-05-11T20:05:00.0000000Z
CWS,CLE,0.5587970455345277,0.44120295446547225,6.5,,,2024-05-11T23:10:00.0000000Z
SF,CIN,0.7857142857142858,0.21428571428571425,8.5,,,2024-05-11T23:15:00.0000000Z
MIL,STL,0.3712871287128713,0.6287128712871287,7.5,,,2024-05-11T23:15:00.0000000Z
COL,TEX,0.4592085992691535,0.5407914007308465,7.5,,,2024-05-12T00:10:00.0000000Z
SD,LAD,0.4279403650712972,0.5720596349287028,9.5,Matt Waldron,James Paxton,2024-05-12T00:40:00.0000000Z
LAA,KC,0.39624302994387584,0.6037569700561242,8.0,Tyler Anderson,Cole Ragans,2024-05-12T01:38:00.0000000Z
SEA,OAK,0.6636481233329261,0.3363518766670739,8.0,Bryce Miller,Joey Estes,2024-05-12T01:40:00.0000000Z
BAL,ARI,0.5324675324675324,0.4675324675324676,8.0,Dean Kremer,Zac Gallen,2024-05-12T17:35:00.0000000Z
TOR,MIN,0.44855888659916276,0.5514411134008372,8.5,Alek Manoah,Bailey Ober,2024-05-12T17:37:00.0000000Z
MIA,PHI,0.3425247743709394,0.6574752256290606,7.0,Braxton Garrett,Zack Wheeler,2024-05-12T17:40:00.0000000Z
DET,HOU,0.4826358742776059,0.5173641257223941,8.0,Jack Flaherty,Justin Verlander,2024-05-12T17:40:00.0000000Z
CWS,CLE,0.39624302994387584,0.6037569700561242,8.5,Michael Soroka,Logan Allen (CLE),2024-05-12T18:10:00.0000000Z
SF,CIN,0.5427435386594943,0.4572564613405057,8.0,Kyle Harrison,Frankie Montas,2024-05-12T20:05:00.0000000Z
LAA,KC,0.44855888659916276,0.5514411134008372,8.0,Patrick Sandoval,Seth Lugo,2024-05-12T20:07:00.0000000Z
SEA,OAK,0.6690070208618835,0.3309929791381165,7.5,Luis Castillo,Alex Wood,2024-05-12T20:10:00.0000000Z
SD,LAD,0.4572564613405057,0.5427435386594943,8.5,Yu Darvish,Walker Buehler,2024-05-12T20:10:00.0000000Z
NYM,ATL,0.4675324675324676,0.5324675324675324,8.0,Luis Severino,Bryce Elder,2024-05-12T23:10:00.0000000Z
