hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
CLE,MIN,0.48916576318717286,0.5108342368128271,8.0,Matthew Boyd,Pablo Lopez,2024-09-16T22:40:00.0000000Z
NYM,WAS,0.6224665504181792,0.3775334495818207,7.5,Sean Manaea,Jake Irvin,2024-09-16T23:10:00.0000000Z
ATL,LAD,0.48916576318717286,0.5108342368128271,7.5,Max Fried,Yoshinobu Yamamoto,2024-09-16T23:20:00.0000000Z
MIL,PHI,0.4826358742776059,0.5173641257223941,8.0,Aaron Civale,Ranger Suarez,2024-09-16T23:40:00.0000000Z
CHC,OAK,0.644729178499835,0.35527082150016503,7.5,Shota Imanaga,Joey Estes,2024-09-16T23:40:00.0000000Z
KC,DET,0.5720596349287028,0.4279403650712972,8.5,Seth Lugo,,2024-09-16T23:40:00.0000000Z
STL,PIT,0.43650793764630424,0.5634920623536958,7.0,Andre Pallante,Paul Skenes,2024-09-16T23:45:00.0000000Z
COL,ARI,0.39624302994387584,0.6037569700561242,11.0,Antonio Senzatela,Merrill Kelly,2024-09-17T00:40:00.0000000Z
LAA,CWS,0.630940342760865,0.36905965723913503,8.0,Reid Detmers,Jonathan Cannon,2024-09-17T01:38:00.0000000Z
SD,HOU,0.5514411134008372,0.4485588865991628,8.0,Yu Darvish,Spencer Arrighetti,2024-09-17T01:40:00.0000000Z
