hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
STL,BOS,0.48916576318717286,0.5108342368128271,8.5,Matthew Liberatore,Nick Pivetta,2024-05-19T17:05:00.0000000Z
NYY,CWS,0.7257525076330242,0.27424749236697576,8.0,Carlos Rodon,Chris Flexen,2024-05-19T17:35:00.0000000Z
PHI,WAS,0.6750312465671372,0.3249687534328628,7.5,Aaron Nola,Trevor Williams,2024-05-19T17:35:00.0000000Z
TOR,TB,0.5108342368128271,0.48916576318717286,8.5,Alek Manoah,Aaron Civale,2024-05-19T17:37:00.0000000Z
MIA,NYM,0.4279403650712972,0.5720596349287028,7.5,Sixto Sanchez,Sean Manaea,2024-05-19T17:40:00.0000000Z
CLE,MIN,0.5260865840488141,0.47391341595118586,7.5,Tanner Bibee,Chris Paddack,2024-05-19T17:40:00.0000000Z
KC,OAK,0.6092362331597097,0.39076376684029035,9.0,Brady Singer,JP Sears,2024-05-19T18:10:00.0000000Z
HOU,MIL,0.5514411134008372,0.4485588865991628,9.0,Spencer Arrighetti,Colin Rea,2024-05-19T18:10:00.0000000Z
CHC,PIT,0.5260865840488141,0.47391341595118586,9.0,Jameson Taillon,Mitch Keller,2024-05-19T18:20:00.0000000Z
TEX,LAA,0.5933697527596193,0.4066302472403806,8.5,Michael Lorenzen,Jose Soriano,2024-05-19T18:35:00.0000000Z
SF,COL,0.6369041809336118,0.36309581906638816,7.5,Jordan Hicks,Dakota Hudson,2024-05-19T20:05:00.0000000Z
ARI,DET,0.5829926396165348,0.41700736038346525,8.5,Jordan Montgomery,Matt Manning,2024-05-19T20:10:00.0000000Z
