hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
BAL,BOS,0.5933697527596193,0.4066302472403806,9.0,Cole Irvin,Cooper Criswell,2024-05-27T17:00:00.0000000Z
CWS,TOR,0.36905965723913503,0.630940342760865,8.5,Nick Nastrini,Chris Bassitt,2024-05-27T18:00:00.0000000Z
MIN,KC,0.6037569700561242,0.39624302994387584,8.0,Joe Ryan,Alec Marsh,2024-05-27T18:00:00.0000000Z
ATL,WAS,0.6369041809336118,0.36309581906638816,9.0,Charlie Morton,Mitchell Parker,2024-05-27T20:00:00.0000000Z
NYM,LAD,0.4279403650712972,0.5720596349287028,8.5,Tylor Megill,Gavin Stone,2024-05-27T20:00:00.0000000Z
COL,CLE,0.44855888659916276,0.5514411134008372,10.5,Austin Gomber,Xzavion Curry,2024-05-27T20:00:00.0000000Z
CIN,STL,0.5514411134008372,0.4485588865991628,9.0,Nick Lodolo,Lance Lynn,2024-05-27T20:00:00.0000000Z
MIL,CHC,0.5324675324675324,0.4675324675324676,8.0,Robert Gasser,Justin Steele,2024-05-27T20:00:00.0000000Z
SF,PHI,0.49567024634455015,0.5043297536554499,8.5,Blake Snell,Taijuan Walker,2024-05-27T21:00:00.0000000Z
SD,MIA,0.6224665504181792,0.3775334495818207,8.0,Michael King,Trevor Rogers,2024-05-27T22:40:00.0000000Z
