hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
NYY,TEX,0.8882882880322052,0.11171171196779482,10.5,,,2024-08-10T17:08:00.0000000Z
TOR,OAK,0.5514411134008372,0.4485588865991628,9.0,Yariel Rodriguez,Osvaldo Bido,2024-08-10T19:07:00.0000000Z
NYY,TEX,0.6164383554888346,0.3835616445111653,9.0,Gerrit Cole,Cody Bradford,2024-08-10T20:05:00.0000000Z
SF,DET,0.6957699506235259,0.30423004937647413,7.5,Logan Webb,,2024-08-10T20:05:00.0000000Z
MIA,SD,0.36905965723913503,0.630940342760865,9.0,Roddery Munoz,Matt Waldron,2024-08-10T20:10:00.0000000Z
BOS,HOU,0.5043297536554499,0.49567024634455015,10.5,Josh Winckowski,Spencer Arrighetti,2024-08-10T20:10:00.0000000Z
WAS,LAA,0.5,0.5,9.5,Patrick Corbin,Griffin Canning,2024-08-10T22:45:00.0000000Z
KC,STL,0.5634920623536956,0.4365079376463043,8.5,Michael Wacha,Andre Pallante,2024-08-10T23:10:00.0000000Z
MIL,CIN,0.5829926396165348,0.41700736038346525,8.0,Tobias Myers,Nick Martinez,2024-08-10T23:10:00.0000000Z
MIN,CLE,0.5217391295274103,0.47826087047258975,8.5,Simeon Woods Richardson,Gavin Williams,2024-08-10T23:10:00.0000000Z
CWS,CHC,0.3249687534328628,0.6750312465671372,9.0,Chris Flexen,Justin Steele,2024-08-10T23:15:00.0000000Z
TB,BAL,0.4170073603834652,0.5829926396165348,7.5,Drew Rasmussen,Corbin Burnes,2024-08-10T23:15:00.0000000Z
ARI,PHI,0.5173641257223942,0.48263587427760585,8.5,Zac Gallen,Aaron Nola,2024-08-11T00:10:00.0000000Z
COL,ATL,0.3630958190663881,0.6369041809336119,10.5,Dakota Hudson,Max Fried,2024-08-11T00:10:00.0000000Z
LAD,PIT,0.5108342368128271,0.48916576318717286,8.0,River Ryan,Paul Skenes,2024-08-11T01:10:00.0000000Z
SEA,NYM,0.5514411134008372,0.4485588865991628,7.5,Logan Gilbert,Sean Manaea,2024-08-11T01:40:00.0000000Z
