hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
DET,CLE,0.39076376684029035,0.6092362331597097,8.5,,Gavin Williams,2024-07-30T17:10:00.0000000Z
BAL,TOR,0.6369041809336118,0.36309581906638816,8.5,Corbin Burnes,Chris Bassitt,2024-07-30T22:35:00.0000000Z
PHI,NYY,0.5217391295274103,0.47826087047258975,9.0,Aaron Nola,Gerrit Cole,2024-07-30T22:40:00.0000000Z
TB,MIA,0.6037569700561242,0.39624302994387584,7.5,Jeffrey Springs,Edward Cabrera,2024-07-30T22:50:00.0000000Z
NYM,MIN,0.5427435386594943,0.4572564613405057,8.5,Sean Manaea,David Festa,2024-07-30T23:10:00.0000000Z
BOS,SEA,0.49567024634455015,0.5043297536554499,10.0,James Paxton,Luis Castillo,2024-07-30T23:10:00.0000000Z
CIN,CHC,0.44855888659916276,0.5514411134008372,9.0,,Justin Steele,2024-07-30T23:10:00.0000000Z
STL,TEX,0.4675324675324676,0.5324675324675324,8.0,Lance Lynn,Max Scherzer,2024-07-30T23:45:00.0000000Z
CWS,KC,0.3775334495818208,0.6224665504181792,9.0,Jonathan Cannon,Michael Wacha,2024-07-31T00:10:00.0000000Z
HOU,PIT,0.5933697527596193,0.4066302472403806,8.5,Hunter Brown,Bailey Falter,2024-07-31T00:10:00.0000000Z
MIL,ATL,0.5324675324675324,0.4675324675324676,9.0,,Bryce Elder,2024-07-31T00:10:00.0000000Z
LAA,COL,0.5514411134008372,0.4485588865991628,8.5,Griffin Canning,Cal Quantrill,2024-07-31T01:38:00.0000000Z
SD,LAD,0.44855888659916276,0.5514411134008372,7.5,Matt Waldron,Tyler Glasnow,2024-07-31T01:40:00.0000000Z
ARI,WAS,0.6224665504181792,0.3775334495818207,9.5,Ryne Nelson,Patrick Corbin,2024-07-31T01:40:00.0000000Z
SF,OAK,0.6164383554888346,0.3835616445111653,8.0,Robbie Ray,JP Sears,2024-07-31T01:45:00.0000000Z
