hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
PIT,LAD,0.36905965723913503,0.630940342760865,8.0,Jared Jones,Tyler Glasnow,2024-06-04T22:40:00.0000000Z
PHI,MIL,0.5996387716075958,0.4003612283924042,9.0,Cristopher Sanchez,,2024-06-04T22:40:00.0000000Z
CLE,KC,0.5260865840488141,0.47391341595118586,8.0,Triston McKenzie,Seth Lugo,2024-06-04T22:40:00.0000000Z
MIA,TB,0.4675324675324676,0.5324675324675324,7.0,Jesus Luzardo,Ryan Pepiot,2024-06-04T22:40:00.0000000Z
WAS,NYM,0.44855888659916276,0.5514411134008372,9.0,DJ Herz,David Peterson,2024-06-04T22:45:00.0000000Z
NYY,MIN,0.6164383554888346,0.3835616445111653,8.0,Luis Gil,Bailey Ober,2024-06-04T23:05:00.0000000Z
TOR,BAL,0.39624302994387584,0.6037569700561242,8.0,Trevor Richards,Corbin Burnes,2024-06-04T23:07:00.0000000Z
BOS,ATL,0.39624302994387584,0.6037569700561242,8.0,Kutter Crawford,Max Fried,2024-06-04T23:10:00.0000000Z
CHC,CWS,0.7179705215114242,0.28202947848857585,9.5,Shota Imanaga,Chris Flexen,2024-06-05T00:05:00.0000000Z
TEX,DET,0.5173641257223942,0.48263587427760585,8.0,Dane Dunning,Jack Flaherty,2024-06-05T00:05:00.0000000Z
HOU,STL,0.5933697527596193,0.4066302472403806,9.0,Spencer Arrighetti,Andre Pallante,2024-06-05T00:10:00.0000000Z
COL,CIN,0.44855888659916276,0.5514411134008372,10.5,Ty Blach,Frankie Montas,2024-06-05T00:40:00.0000000Z
LAA,SD,0.5173641257223942,0.48263587427760585,8.5,Patrick Sandoval,Adam Mazur,2024-06-05T01:38:00.0000000Z
OAK,SEA,0.40663024724038055,0.5933697527596195,8.0,Mitch Spence,George Kirby,2024-06-05T01:40:00.0000000Z
ARI,SF,0.5260865840488141,0.47391341595118586,9.5,Blake Walston,Kyle Harrison,2024-06-05T01:40:00.0000000Z
