hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
CHC,STL,0.5217391295274103,0.47826087047258975,7.5,Jordan Wicks,Kyle Gibson,2024-06-14T18:20:00.0000000Z
BOS,NYY,0.4279403650712972,0.5720596349287028,9.5,Brayan Bello,Luis Gil,2024-06-14T22:30:00.0000000Z
WAS,MIA,0.5996387716075958,0.4003612283924042,8.0,MacKenzie Gore,,2024-06-14T22:45:00.0000000Z
BAL,PHI,0.5514411134008372,0.4485588865991628,7.0,Kyle Bradish,Ranger Suarez,2024-06-14T23:05:00.0000000Z
TOR,CLE,0.5514411134008372,0.4485588865991628,8.0,Kevin Gausman,Logan Allen (CLE),2024-06-14T23:07:00.0000000Z
NYM,SD,0.49567024634455015,0.5043297536554499,7.5,Sean Manaea,Matt Waldron,2024-06-14T23:10:00.0000000Z
ATL,TB,0.6636481233329261,0.3363518766670739,8.5,Chris Sale,Zack Littell,2024-06-14T23:20:00.0000000Z
MIN,OAK,0.6224665504181792,0.3775334495818207,9.0,Simeon Woods Richardson,Mitch Spence,2024-06-15T00:10:00.0000000Z
HOU,DET,0.5260865840488141,0.47391341595118586,7.0,Hunter Brown,Tarik Skubal,2024-06-15T00:10:00.0000000Z
MIL,CIN,0.5829926396165348,0.41700736038346525,7.5,Freddy Peralta,Hunter Greene,2024-06-15T00:10:00.0000000Z
COL,PIT,0.5043297536554499,0.49567024634455015,11.0,Ryan Feltner,,2024-06-15T00:40:00.0000000Z
ARI,CWS,0.6369041809336118,0.36309581906638816,9.0,Ryne Nelson,Chris Flexen,2024-06-15T01:40:00.0000000Z
LAD,KC,0.5933697527596193,0.4066302472403806,7.5,Gavin Stone,Cole Ragans,2024-06-15T02:10:00.0000000Z
SEA,TEX,0.5634920623536956,0.4365079376463043,7.0,Luis Castillo,Andrew Heaney,2024-06-15T02:10:00.0000000Z
SF,LAA,0.5829926396165348,0.41700736038346525,8.5,,Tyler Anderson,2024-06-15T02:15:00.0000000Z
