hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
CLE,NYM,0.5324675324675324,0.4675324675324676,9.5,Carlos Carrasco,Adrian Houser,2024-05-21T22:10:00.0000000Z
PHI,TEX,0.6092362331597097,0.39076376684029035,8.0,Ranger Suarez,Jon Gray,2024-05-21T22:40:00.0000000Z
MIA,MIL,0.43650793764630424,0.5634920623536958,8.0,Trevor Rogers,Robert Gasser,2024-05-21T22:40:00.0000000Z
PIT,SF,0.44855888659916276,0.5514411134008372,8.0,Martin Perez,Logan Webb,2024-05-21T22:40:00.0000000Z
CIN,SD,0.4826358742776059,0.5173641257223941,9.0,Andrew Abbott,Joe Musgrove,2024-05-21T22:40:00.0000000Z
WAS,MIN,0.3775334495818208,0.6224665504181792,8.0,Patrick Corbin,Joe Ryan,2024-05-21T22:45:00.0000000Z
TB,BOS,0.5634920623536956,0.4365079376463043,8.0,Zack Littell,Cooper Criswell,2024-05-21T22:50:00.0000000Z
NYY,SEA,0.5933697527596193,0.4066302472403806,7.5,Clarke Schmidt,Bryan Woo,2024-05-21T23:05:00.0000000Z
TOR,CWS,0.6164383554888346,0.3835616445111653,7.5,Yusei Kikuchi,Garrett Crochet,2024-05-21T23:07:00.0000000Z
KC,DET,0.5043297536554499,0.49567024634455015,9.5,Alec Marsh,Casey Mize,2024-05-21T23:40:00.0000000Z
CHC,ATL,0.4675324675324676,0.5324675324675324,9.5,Javier Assad,Charlie Morton,2024-05-21T23:40:00.0000000Z
STL,BAL,0.4279403650712972,0.5720596349287028,8.5,Lance Lynn,Kyle Bradish,2024-05-21T23:45:00.0000000Z
HOU,LAA,0.6574752256290606,0.3425247743709395,8.5,Cristian Javier,Griffin Canning,2024-05-22T00:10:00.0000000Z
OAK,COL,0.5514411134008372,0.4485588865991628,7.5,Aaron Brooks,Cal Quantrill,2024-05-22T01:40:00.0000000Z
LAD,ARI,0.6092362331597097,0.39076376684029035,8.5,Gavin Stone,Brandon Pfaadt,2024-05-22T02:10:00.0000000Z
