hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
BAL,BOS,0.9579341940857976,0.04206580591420241,7.5,,,2024-08-15T22:35:00.0000000Z
BAL,BOS,0.9981743908611092,0.0018256091388908972,13.5,,,2024-08-15T22:35:00.0000000Z
TEX,MIN,0.4592085992691535,0.5407914007308465,10.5,,,2024-08-16T00:05:00.0000000Z
CHC,TOR,0.5108342368128271,0.48916576318717286,-1.0,Kyle Hendricks,Yariel Rodriguez,2024-08-16T18:20:00.0000000Z
CIN,KC,0.5634920623536956,0.4365079376463043,9.5,Nick Martinez,Michael Lorenzen,2024-08-16T22:40:00.0000000Z
PHI,WAS,0.7034068121612362,0.2965931878387637,9.0,Aaron Nola,Patrick Corbin,2024-08-16T22:40:00.0000000Z
PIT,SEA,0.5427435386594943,0.4572564613405057,7.0,Paul Skenes,Logan Gilbert,2024-08-16T22:40:00.0000000Z
TB,ARI,0.49567024634455015,0.5043297536554499,8.0,Ryan Pepiot,Ryne Nelson,2024-08-16T22:50:00.0000000Z
NYM,MIA,0.6690070208618835,0.3309929791381165,8.5,Sean Manaea,Roddery Munoz,2024-08-16T23:10:00.0000000Z
TEX,MIN,0.5,0.5,9.0,Andrew Heaney,Simeon Woods Richardson,2024-08-17T00:05:00.0000000Z
HOU,CWS,0.630940342760865,0.36905965723913503,8.0,Spencer Arrighetti,Garrett Crochet,2024-08-17T00:10:00.0000000Z
MIL,CLE,0.4826358742776059,0.5173641257223941,8.0,Aaron Civale,Gavin Williams,2024-08-17T00:10:00.0000000Z
COL,SD,0.38356164451116537,0.6164383554888346,11.0,Cal Quantrill,Matt Waldron,2024-08-17T00:40:00.0000000Z
LAA,ATL,0.4279403650712972,0.5720596349287028,8.5,Jose Soriano,Spencer Schwellenbach,2024-08-17T01:38:00.0000000Z
