hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
DET,PIT,0.5829926396165348,0.41700736038346525,7.0,Tarik Skubal,Jared Jones,2024-05-29T16:40:00.0000000Z
CIN,STL,0.5260865840488141,0.47391341595118586,9.5,Frankie Montas,Andre Pallante,2024-05-29T17:10:00.0000000Z
TEX,ARI,0.5514411134008372,0.4485588865991628,9.0,Dane Dunning,Ryne Nelson,2024-05-29T18:35:00.0000000Z
DET,PIT,0.43650793764630424,0.5634920623536958,7.5,,Paul Skenes,2024-05-29T19:40:00.0000000Z
SF,PHI,0.4675324675324676,0.5324675324675324,8.0,Kyle Harrison,Cristopher Sanchez,2024-05-29T19:45:00.0000000Z
NYM,LAD,0.4675324675324676,0.5324675324675324,8.5,David Peterson,James Paxton,2024-05-29T20:10:00.0000000Z
SD,MIA,0.6164383554888346,0.3835616445111653,7.5,Yu Darvish,Braxton Garrett,2024-05-29T20:10:00.0000000Z
BAL,BOS,0.630940342760865,0.36905965723913503,7.5,Corbin Burnes,Kutter Crawford,2024-05-29T22:35:00.0000000Z
TB,OAK,0.630940342760865,0.36905965723913503,8.0,Ryan Pepiot,Joey Estes,2024-05-29T22:50:00.0000000Z
ATL,WAS,0.5933697527596193,0.4066302472403806,8.5,Spencer Schwellenbach,MacKenzie Gore,2024-05-29T23:20:00.0000000Z
MIL,CHC,0.44855888659916276,0.5514411134008372,7.5,Bryse Wilson,Shota Imanaga,2024-05-29T23:40:00.0000000Z
CWS,TOR,0.3932993453848517,0.6067006546151483,8.5,Chris Flexen,Alek Manoah,2024-05-29T23:40:00.0000000Z
MIN,KC,0.5324675324675324,0.4675324675324676,7.5,Bailey Ober,Seth Lugo,2024-05-29T23:40:00.0000000Z
COL,CLE,0.4170073603834652,0.5829926396165348,11.0,Ty Blach,Logan Allen (CLE),2024-05-30T00:40:00.0000000Z
LAA,NYY,0.36905965723913503,0.630940342760865,8.5,Tyler Anderson,Luis Gil,2024-05-30T01:38:00.0000000Z
SEA,HOU,0.5043297536554499,0.49567024634455015,7.0,George Kirby,Justin Verlander,2024-05-30T01:40:00.0000000Z
