hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
STL,CHC,0.5720596349287028,0.4279403650712972,8.0,Sonny Gray,Javier Assad,2024-05-27T00:59:00.0000000Z
BAL,BOS,0.5996387716075958,0.4003612283924042,9.0,Cole Irvin,Cooper Criswell,2024-05-27T17:00:00.0000000Z
CWS,TOR,0.36905965723913503,0.630940342760865,8.5,,Chris Bassitt,2024-05-27T18:00:00.0000000Z
MIN,KC,0.6037569700561242,0.39624302994387584,8.0,Joe Ryan,Alec Marsh,2024-05-27T18:00:00.0000000Z
ATL,WAS,0.644729178499835,0.35527082150016503,9.0,Charlie Morton,Mitchell Parker,2024-05-27T20:00:00.0000000Z
NYM,LAD,0.4279403650712972,0.5720596349287028,8.5,Tylor Megill,Gavin Stone,2024-05-27T20:00:00.0000000Z
COL,CLE,0.4572564613405057,0.5427435386594943,10.0,Austin Gomber,Xzavion Curry,2024-05-27T20:00:00.0000000Z
CIN,STL,0.5514411134008372,0.4485588865991628,9.0,Nick Lodolo,Lance Lynn,2024-05-27T20:00:00.0000000Z
MIL,CHC,0.5108342368128271,0.48916576318717286,8.0,Robert Gasser,,2024-05-27T20:00:00.0000000Z
SF,PHI,0.4826358742776059,0.5173641257223941,8.0,Blake Snell,Taijuan Walker,2024-05-27T21:00:00.0000000Z
SD,MIA,0.6224665504181792,0.3775334495818207,7.5,Michael King,Trevor Rogers,2024-05-27T22:40:00.0000000Z
