hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
KC,PHI,0.07975460122699385,0.9202453987730062,9.5,,,2024-08-24T23:10:00.0000000Z
KC,PHI,0.5305458187280921,0.46945418127190786,15.5,,,2024-08-24T23:10:00.0000000Z
KC,PHI,0.6889907709047964,0.3110092290952036,13.5,,,2024-08-24T23:10:00.0000000Z
MIN,STL,0.9627252529051191,0.03727474709488092,7.5,,,2024-08-24T23:11:33.0000000Z
ATL,WAS,0.3135593235463947,0.6864406764536053,5.5,,,2024-08-24T23:21:54.0000000Z
SD,NYM,0.5992714012402083,0.4007285987597918,7.5,,,2024-08-25T00:40:00.0000000Z
LAD,TB,0.6636481233329261,0.3363518766670739,7.5,Clayton Kershaw,Taj Bradley,2024-08-25T01:10:00.0000000Z
ATL,WAS,0.6224665504181792,0.3775334495818207,8.0,Reynaldo Lopez,DJ Herz,2024-08-25T16:05:00.0000000Z
NYY,COL,0.7179705215114242,0.28202947848857585,8.5,Marcus Stroman,Austin Gomber,2024-08-25T17:35:00.0000000Z
BOS,ARI,0.5634920623536956,0.4365079376463043,9.5,Tanner Houck,Merrill Kelly,2024-08-25T17:35:00.0000000Z
TOR,LAA,0.6164383554888346,0.3835616445111653,8.0,Kevin Gausman,Tyler Anderson,2024-08-25T17:37:00.0000000Z
MIA,CHC,0.40036122839240407,0.5996387716075959,8.5,Adam Oller,Javier Assad,2024-08-25T17:40:00.0000000Z
CLE,TEX,0.5324675324675324,0.4675324675324676,8.5,Matthew Boyd,Cody Bradford,2024-08-25T17:40:00.0000000Z
KC,PHI,0.5324675324675324,0.4675324675324676,8.5,Seth Lugo,Kolby Allard,2024-08-25T18:10:00.0000000Z
MIN,STL,0.5427435386594943,0.4572564613405057,8.5,Zebby Matthews,Erick Fedde,2024-08-25T18:10:00.0000000Z
OAK,MIL,0.4675324675324676,0.5324675324675324,8.0,Joey Estes,Frankie Montas,2024-08-25T20:07:00.0000000Z
SEA,SF,0.5634920623536956,0.4365079376463043,7.5,Bryan Woo,Robbie Ray,2024-08-25T20:10:00.0000000Z
SD,NYM,0.5260865840488141,0.47391341595118586,8.5,Martin Perez,Jose Quintana,2024-08-25T20:10:00.0000000Z
