hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
MIA,CIN,0.03727474709488099,0.962725252905119,11.5,,,2024-08-06T22:43:00.0000000Z
WAS,SF,0.908990010412749,0.09100998958725105,17.5,,,2024-08-06T22:45:00.0000000Z
TOR,BAL,0.37699680622645937,0.6230031937735406,4.5,,,2024-08-06T23:07:00.0000000Z
ATL,MIL,0.04596472492459247,0.9540352750754075,11.5,,,2024-08-06T23:21:07.0000000Z
STL,TB,0.8076923072485207,0.19230769275147927,10.5,,,2024-08-06T23:46:50.0000000Z
CHC,MIN,0.8542857134070204,0.14571428659297958,7.5,,,2024-08-07T00:04:56.0000000Z
TEX,HOU,0.5,0.5,6.5,,,2024-08-07T00:05:00.0000000Z
KC,BOS,0.44943820307200266,0.5505617969279973,10.5,,,2024-08-07T00:10:17.0000000Z
COL,NYM,0.4170073603834652,0.5829926396165348,11.0,Kyle Freeland,Luis Severino,2024-08-07T00:40:00.0000000Z
SEA,DET,0.644729178499835,0.35527082150016503,7.5,Luis Castillo,Keider Montero,2024-08-07T01:40:00.0000000Z
OAK,CWS,0.644729178499835,0.35527082150016503,8.5,Ross Stripling,Jonathan Cannon,2024-08-07T01:40:00.0000000Z
LAD,PHI,0.5043297536554499,0.49567024634455015,8.5,Clayton Kershaw,Cristopher Sanchez,2024-08-07T02:10:00.0000000Z
CHC,MIN,0.43650793764630424,0.5634920623536958,-1.0,Javier Assad,Joe Ryan,2024-08-07T18:20:00.0000000Z
OAK,CWS,0.6611909648887502,0.3388090351112498,8.5,Joey Estes,Davis Martin,2024-08-07T19:35:00.0000000Z
PIT,SD,0.4279403650712972,0.5720596349287028,8.0,Marco Gonzales,Michael King,2024-08-07T22:40:00.0000000Z
MIA,CIN,0.4279403650712972,0.5720596349287028,8.5,Valente Bellozo,Andrew Abbott,2024-08-07T22:40:00.0000000Z
WAS,SF,0.40663024724038055,0.5933697527596195,8.0,Jake Irvin,Blake Snell,2024-08-07T22:45:00.0000000Z
TOR,BAL,0.4170073603834652,0.5829926396165348,9.5,Bowden Francis,Trevor Rogers,2024-08-07T23:07:00.0000000Z
ATL,MIL,0.5933697527596193,0.4066302472403806,7.5,Chris Sale,Freddy Peralta,2024-08-07T23:20:00.0000000Z
STL,TB,0.5173641257223942,0.48263587427760585,7.5,Erick Fedde,Taj Bradley,2024-08-07T23:45:00.0000000Z
KC,BOS,0.5720596349287028,0.4279403650712972,8.5,Cole Ragans,Kutter Crawford,2024-08-08T00:10:00.0000000Z
COL,NYM,0.40036122839240407,0.5996387716075959,11.5,Ryan Feltner,Paul Blackburn,2024-08-08T00:40:00.0000000Z
SEA,DET,0.5514411134008372,0.4485588865991628,6.5,George Kirby,Tarik Skubal,2024-08-08T01:40:00.0000000Z
LAD,PHI,0.5514411134008372,0.4485588865991628,9.0,Gavin Stone,Tyler Phillips,2024-08-08T02:10:00.0000000Z
