hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
CIN,CHC,0.27706185674146766,0.7229381432585323,13.5,,,2024-07-31T23:20:57.0000000Z
HOU,PIT,0.2619589980583331,0.7380410019416669,11.5,,,2024-08-01T00:12:21.0000000Z
SD,LAD,0.5715249661653973,0.4284750338346027,6.5,,,2024-08-01T00:40:00.0000000Z
LAA,COL,0.5634920623536956,0.4365079376463043,9.0,Davis Daniel,Kyle Freeland,2024-08-01T01:38:00.0000000Z
SF,OAK,0.644729178499835,0.35527082150016503,7.5,Logan Webb,Ross Stripling,2024-08-01T01:45:00.0000000Z
DET,KC,0.39624302994387584,0.6037569700561242,8.0,Keider Montero,Seth Lugo,2024-08-01T22:40:00.0000000Z
CHC,STL,0.5108342368128271,0.48916576318717286,-1.0,Shota Imanaga,Sonny Gray,2024-08-02T00:05:00.0000000Z
LAA,COL,0.5427435386594943,0.4572564613405057,9.0,Carson Fulmer,Ryan Feltner,2024-08-02T01:38:00.0000000Z
