hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
TOR,MIN,0.5720596349287028,0.4279403650712972,7.5,Kevin Gausman,Simeon Woods Richardson,2024-05-11T19:07:00.0000000Z
BAL,ARI,0.5933697527596193,0.4066302472403806,8.5,John Means,Ryne Nelson,2024-05-11T20:05:00.0000000Z
PIT,CHC,0.5,0.5,7.0,Paul Skenes,Justin Steele,2024-05-11T20:05:00.0000000Z
MIA,PHI,0.4572564613405057,0.5427435386594943,8.0,Jesus Luzardo,Taijuan Walker,2024-05-11T20:10:00.0000000Z
NYM,ATL,0.4170073603834652,0.5829926396165348,7.0,Christian Scott,Max Fried,2024-05-11T20:10:00.0000000Z
TB,NYY,0.5,0.5,8.0,Zack Littell,Nestor Cortes,2024-05-11T20:10:00.0000000Z
BOS,WAS,0.5933697527596193,0.4066302472403806,8.5,Cooper Criswell,Jake Irvin,2024-05-11T20:10:00.0000000Z
DET,HOU,0.5720596349287028,0.4279403650712972,7.5,Tarik Skubal,Cristian Javier,2024-05-11T22:10:00.0000000Z
CWS,CLE,0.39624302994387584,0.6037569700561242,8.0,Mike Clevinger,Triston McKenzie,2024-05-11T23:10:00.0000000Z
MIL,STL,0.6369041809336118,0.36309581906638816,7.5,Freddy Peralta,Kyle Gibson,2024-05-11T23:15:00.0000000Z
SF,CIN,0.4279403650712972,0.5720596349287028,7.5,Mason Black,Nick Lodolo,2024-05-11T23:15:00.0000000Z
COL,TEX,0.4170073603834652,0.5829926396165348,9.5,Ryan Feltner,Andrew Heaney,2024-05-12T00:10:00.0000000Z
SD,LAD,0.4279403650712972,0.5720596349287028,9.5,Matt Waldron,James Paxton,2024-05-12T00:40:00.0000000Z
LAA,KC,0.40036122839240407,0.5996387716075959,8.0,Tyler Anderson,Cole Ragans,2024-05-12T01:38:00.0000000Z
SEA,OAK,0.6574752256290606,0.3425247743709395,8.0,Bryce Miller,Joey Estes,2024-05-12T01:40:00.0000000Z
