hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
NYM,PHI,0.40036122839240407,0.5996387716075959,10.0,Sean Manaea,Ranger Suarez,2024-06-08T17:10:00.0000000Z
WAS,ATL,0.44855888659916276,0.5514411134008372,8.0,MacKenzie Gore,Charlie Morton,2024-06-08T20:05:00.0000000Z
OAK,TOR,0.40663024724038055,0.5933697527596195,8.0,Luis Medina,Kevin Gausman,2024-06-08T20:07:00.0000000Z
CWS,BOS,0.3425247743709394,0.6574752256290606,9.0,Nick Nastrini,Brayan Bello,2024-06-08T20:10:00.0000000Z
KC,SEA,0.43650793764630424,0.5634920623536958,8.5,Alec Marsh,Luis Castillo,2024-06-08T20:10:00.0000000Z
CIN,CHC,0.5217391295274103,0.47826087047258975,9.0,Andrew Abbott,Ben Brown,2024-06-08T20:10:00.0000000Z
TB,BAL,0.4279403650712972,0.5720596349287028,8.0,Taj Bradley,Kyle Bradish,2024-06-08T20:10:00.0000000Z
DET,MIL,0.39076376684029035,0.6092362331597097,8.0,Casey Mize,Freddy Peralta,2024-06-08T20:10:00.0000000Z
STL,COL,0.630940342760865,0.36905965723913503,8.5,Kyle Gibson,Ryan Feltner,2024-06-08T20:15:00.0000000Z
NYY,LAD,0.5324675324675324,0.4675324675324676,8.5,Nestor Cortes,Gavin Stone,2024-06-08T23:35:00.0000000Z
MIA,CLE,0.40036122839240407,0.5996387716075959,8.0,Roddery Munoz,Ben Lively,2024-06-08T23:35:00.0000000Z
SD,ARI,0.5720596349287028,0.4279403650712972,8.0,Matt Waldron,Ryne Nelson,2024-06-09T00:40:00.0000000Z
LAA,HOU,0.40036122839240407,0.5996387716075959,8.5,Tyler Anderson,Hunter Brown,2024-06-09T02:07:00.0000000Z
