hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
BAL,ATL,0.5217391295274103,0.47826087047258975,9.5,Cole Irvin,Reynaldo Lopez,2024-06-13T17:05:00.0000000Z
DET,WAS,0.5829926396165348,0.41700736038346525,9.0,Casey Mize,Patrick Corbin,2024-06-13T17:10:00.0000000Z
KC,NYY,0.40663024724038055,0.5933697527596195,10.5,Alec Marsh,Nestor Cortes,2024-06-13T18:10:00.0000000Z
STL,PIT,0.5,0.5,8.5,Lance Lynn,Mitch Keller,2024-06-13T18:15:00.0000000Z
TB,CHC,0.4782608704725898,0.5217391295274102,8.0,Taj Bradley,Justin Steele,2024-06-13T22:50:00.0000000Z
BOS,PHI,0.47391341595118586,0.5260865840488141,8.5,Tanner Houck,Aaron Nola,2024-06-13T23:10:00.0000000Z
NYM,MIA,0.6369041809336118,0.36309581906638816,8.5,Luis Severino,Roddery Munoz,2024-06-13T23:10:00.0000000Z
MIN,OAK,0.6805555548308899,0.3194444451691101,8.0,Joe Ryan,Luis Medina,2024-06-13T23:40:00.0000000Z
SEA,CWS,0.6037569700561242,0.39624302994387584,6.5,Luis Castillo,Garrett Crochet,2024-06-14T01:40:00.0000000Z
ARI,LAA,0.6224665504181792,0.3775334495818207,8.5,Brandon Pfaadt,Griffin Canning,2024-06-14T01:40:00.0000000Z
LAD,TEX,0.644729178499835,0.35527082150016503,8.5,Michael Grove,Michael Lorenzen,2024-06-14T02:10:00.0000000Z
