hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
CLE,KC,0.35010941004362006,0.6498905899563799,10.5,,,2024-08-26T17:10:00.0000000Z
PHI,HOU,0.6224665504181792,0.3775334495818207,8.0,Zack Wheeler,Ronel Blanco,2024-08-26T22:40:00.0000000Z
PIT,CHC,0.5173641257223942,0.48263587427760585,8.5,Mitch Keller,Jameson Taillon,2024-08-26T22:40:00.0000000Z
CLE,KC,0.5260865840488141,0.47391341595118586,8.5,Logan Allen (CLE),Alec Marsh,2024-08-26T22:40:00.0000000Z
WAS,NYY,0.36905965723913503,0.630940342760865,9.0,Mitchell Parker,Nestor Cortes,2024-08-26T22:45:00.0000000Z
BOS,TOR,0.5829926396165348,0.41700736038346525,9.0,Nick Pivetta,Jose Berrios,2024-08-26T23:10:00.0000000Z
MIN,ATL,0.5427435386594943,0.4572564613405057,7.5,Bailey Ober,Max Fried,2024-08-26T23:40:00.0000000Z
STL,SD,0.5173641257223942,0.48263587427760585,9.0,Kyle Gibson,Randy Vasquez,2024-08-26T23:45:00.0000000Z
CWS,DET,0.4170073603834652,0.5829926396165348,9.0,Davis Martin,Ty Madden,2024-08-27T00:10:00.0000000Z
COL,MIA,0.5,0.5,10.5,,Edward Cabrera,2024-08-27T00:40:00.0000000Z
SEA,TB,0.5514411134008372,0.4485588865991628,7.0,Bryce Miller,Ryan Pepiot,2024-08-27T01:40:00.0000000Z
