cycle,ace,no2,no3,no4,no5,
0,Max Scherzer,David Peterson,Tylor Megill,Kodai Senga,Carlos Carrasco,
1,Max Scherzer,David Peterson,Tylor Megill,Kodai Senga,Carlos Carrasco,
2,Max Scherzer,David Peterson,Tylor Megill,Kodai Senga,Carlos Carrasco,
3,Jose Butto,David Peterson,Tylor Megill,Max Scherzer,Kodai Senga,
4,Joey Lucchesi,David Peterson,Tylor Megill,Jose Butto,Kodai Senga,
5,Joey Lucchesi,David Peterson,Denyi Reyes,Max Scherzer,Justin Verlander,
6,Kodai Senga,Tylor Megill,Joey Lucchesi,David Peterson,Justin Verlander,
7,Kodai Senga,Tylor Megill,Joey Lucchesi,Max Scherzer,David Peterson,
8,Justin Verlander,Kodai Senga,Tylor Megill,Carlos Carrasco,Max Scherzer,
9,Tylor Megill,Kodai Senga,Carlos Carrasco,Max Scherzer,Justin Verlander,
10,Tylor Megill,Kodai Senga,Carlos Carrasco,Max Scherzer,Justin Verlander,
11,Tylor Megill,Kodai Senga,Carlos Carrasco,Max Scherzer,Justin Verlander,
12,Tylor Megill,Kodai Senga,Carlos Carrasco,Max Scherzer,Justin Verlander,
13,Tylor Megill,Kodai Senga,Carlos Carrasco,Max Scherzer,Justin Verlander,
14,Tylor Megill,Kodai Senga,Max Scherzer,Carlos Carrasco,Justin Verlander,
15,David Peterson,Kodai Senga,Max Scherzer,Carlos Carrasco,Justin Verlander,
16,David Peterson,Max Scherzer,Kodai Senga,Carlos Carrasco,Justin Verlander,
17,David Peterson,Max Scherzer,Justin Verlander,Kodai Senga,Max Scherzer,
18,Carlos Carrasco,Justin Verlander,Jose Quintana,Kodai Senga,Max Scherzer,
19,Carlos Carrasco,Justin Verlander,Jose Quintana,Kodai Senga,Max Scherzer,
20,Carlos Carrasco,Justin Verlander,Jose Quintana,Kodai Senga,Carlos Carrasco,
21,David Peterson,Tylor Megill,Jose Quintana,Kodai Senga,Carlos Carrasco,
22,David Peterson,Tylor Megill,Denyi Reyes,Kodai Senga,Carlos Carrasco,
23,David Peterson,Tylor Megill,Jose Quintana,Joey Lucchesi,Kodai Senga,
24,Carlos Carrasco,David Peterson,Tylor Megill,Jose Quintana,Kodai Senga,
25,Carlos Carrasco,David Peterson,Tylor Megill,Jose Quintana,Denyi Reyes,
26,Kodai Senga,David Peterson,Tylor Megill,Jose Quintana,Jose Butto,
27,Kodai Senga,David Peterson,Tylor Megill,,,
