cycle,ace,no2,no3,no4,no5,
0,Blake Snell,Nick Martinez,Michael Wacha,Seth Lugo,Ryan Weathers,
1,Yu Darvish,Blake Snell,Nick Martinez,Michael Wacha,Seth Lugo,
2,Yu Darvish,Ryan Weathers,Blake Snell,Nick Martinez,Michael Wacha,
3,Seth Lugo,Yu Darvish,Ryan Weathers,Blake Snell,Nick Martinez,
4,Michael Wacha,Seth Lugo,Joe Musgrove,Yu Darvish,Blake Snell,
5,Michael Wacha,Seth Lugo,Joe Musgrove,Yu Darvish,Blake Snell,
6,Michael Wacha,Seth Lugo,Yu Darvish,Blake Snell,Joe Musgrove,
7,Michael Wacha,Seth Lugo,Yu Darvish,Blake Snell,Joe Musgrove,
8,Ryan Weathers,Michael Wacha,Seth Lugo,Yu Darvish,Blake Snell,
9,Joe Musgrove,Michael Wacha,Yu Darvish,Ryan Weathers,Blake Snell,
10,Joe Musgrove,Michael Wacha,Yu Darvish,Ryan Weathers,Blake Snell,
11,Joe Musgrove,Michael Wacha,Yu Darvish,Ryan Weathers,Blake Snell,
12,Joe Musgrove,Michael Wacha,Yu Darvish,Ryan Weathers,Blake Snell,
13,Joe Musgrove,Michael Wacha,Ryan Weathers,Yu Darvish,Blake Snell,
14,Joe Musgrove,Michael Wacha,Seth Lugo,Yu Darvish,Blake Snell,
15,Joe Musgrove,Matt Waldron,Seth Lugo,Reiss Knehr,Blake Snell,
16,Joe Musgrove,Seth Lugo,Michael Wacha,Adrian Morejon,Blake Snell,
17,Joe Musgrove,Seth Lugo,Yu Darvish,Blake Snell,Joe Musgrove,
18,Yu Darvish,Blake Snell,Seth Lugo,Joe Musgrove,Yu Darvish,
19,Blake Snell,Seth Lugo,Jackson Wolf,Joe Musgrove,Yu Darvish,
20,Blake Snell,Seth Lugo,Joe Musgrove,Yu Darvish,Blake Snell,
21,Seth Lugo,Pedro Avila,Nick Martinez,Yu Darvish,Blake Snell,
22,Rich Hill,Seth Lugo,Nick Martinez,Yu Darvish,Blake Snell,
23,Rich Hill,Seth Lugo,Yu Darvish,Michael Wacha,Blake Snell,
24,Rich Hill,Seth Lugo,Matt Waldron,Michael Wacha,Blake Snell,
25,Seth Lugo,Yu Darvish,Pedro Avila,Michael Wacha,Blake Snell,
