cycle,ace,no2,no3,no4,no5,
0,Kyle Muller,Shintaro Fujinami,Ken Waldichuk,James Kaprielian,Jp Sears,
1,Kyle Muller,Ken Waldichuk,Shintaro Fujinami,James Kaprielian,Jp Sears,
2,Kyle Muller,Ken Waldichuk,Adam Oller,James Kaprielian,Shintaro Fujinami,
3,Jp Sears,Kyle Muller,Ken Waldichuk,Mason Miller,Jp Sears,
4,Shintaro Fujinami,Kyle Muller,Ken Waldichuk,Mason Miller,Luis Medina,
5,Jp Sears,Drew Rucinski,Kyle Muller,Ken Waldichuk,Mason Miller,
6,Jp Sears,Drew Rucinski,Kyle Muller,Ken Waldichuk,Mason Miller,
7,Jp Sears,Drew Rucinski,Kyle Muller,Luis Medina,Ken Waldichuk,
8,James Kaprielian,Jp Sears,Drew Rucinski,Kyle Muller,Luis Medina,
9,Ken Waldichuk,Jp Sears,James Kaprielian,Kyle Muller,Luis Medina,
10,Austin Pruitt,Jp Sears,James Kaprielian,Austin Pruitt,Ken Waldichuk,
11,Paul Blackburn,Jp Sears,James Kaprielian,Shintaro Fujinami,Luis Medina,
12,Paul Blackburn,Jp Sears,James Kaprielian,Hogan Harris,Sam Moll,
13,Paul Blackburn,Jp Sears,James Kaprielian,Shintaro Fujinami,Luis Medina,
14,Paul Blackburn,Jp Sears,James Kaprielian,Hogan Harris,Ken Waldichuk,
15,Paul Blackburn,Jp Sears,James Kaprielian,Shintaro Fujinami,Luis Medina,
16,Paul Blackburn,Jp Sears,Hogan Harris,Luis Medina,Kyle Muller,
17,Paul Blackburn,Jp Sears,Austin Pruitt,Hogan Harris,Sam Long,
18,Austin Pruitt,Jp Sears,Ken Waldichuk,Austin Pruitt,Jp Sears,
19,Paul Blackburn,Luis Medina,Ken Waldichuk,Hogan Harris,Jp Sears,
20,Paul Blackburn,Luis Medina,Tayler Scott,Freddy Tarnok,Jp Sears,
21,Paul Blackburn,Luis Medina,Ken Waldichuk,Hogan Harris,Jp Sears,
22,Paul Blackburn,Luis Medina,Ken Waldichuk,Jp Sears,Austin Pruitt,
23,Paul Blackburn,Luis Medina,Ken Waldichuk,Jp Sears,Spenser Watkins,
24,Paul Blackburn,Francisco Perez,Ken Waldichuk,Jp Sears,Paul Blackburn,
25,Dany Jimenez,Adrian Martinez,Ken Waldichuk,Zach Neal,Jp Sears,
26,Paul Blackburn,Kyle Muller,Ken Waldichuk,Zach Neal,Jp Sears,
27,Paul Blackburn,Kyle Muller,Luis Medina,Ken Waldichuk,Jp Sears,
