cycle,ace,no2,no3,no4,no5,
0,Corey Kluber,Chris Sale,Tanner Houck,Kutter Crawford,Nick Pivetta,
1,Corey Kluber,Chris Sale,Tanner Houck,Kutter Crawford,Nick Pivetta,
2,Garrett Whitlock,Chris Sale,Corey Kluber,Tanner Houck,Nick Pivetta,
3,Garrett Whitlock,Brayan Bello,Chris Sale,Corey Kluber,Tanner Houck,
4,Nick Pivetta,Garrett Whitlock,Brayan Bello,Chris Sale,Corey Kluber,
5,Tanner Houck,Nick Pivetta,Brayan Bello,Chris Sale,Corey Kluber,
6,Tanner Houck,Nick Pivetta,Brayan Bello,Chris Sale,Corey Kluber,
7,Tanner Houck,Nick Pivetta,Brayan Bello,James Paxton,Chris Sale,
8,Corey Kluber,Tanner Houck,Nick Pivetta,Brayan Bello,James Paxton,
9,Chris Sale,Corey Kluber,Tanner Houck,Brayan Bello,James Paxton,
10,Chris Sale,Garrett Whitlock,Tanner Houck,Brayan Bello,James Paxton,
11,Chris Sale,Garrett Whitlock,Tanner Houck,Brayan Bello,James Paxton,
12,Kutter Crawford,Matt Dermody,Garrett Whitlock,Tanner Houck,Brayan Bello,
13,James Paxton,Kutter Crawford,Garrett Whitlock,Tanner Houck,Kaleb Ort,
14,James Paxton,Kutter Crawford,Garrett Whitlock,Justin Garza,Brayan Bello,
15,James Paxton,Kutter Crawford,Garrett Whitlock,Kaleb Ort,Brayan Bello,
16,James Paxton,Kutter Crawford,Garrett Whitlock,Brennan Bernardino,Brayan Bello,
17,Kutter Crawford,Brennan Bernardino,James Paxton,Tayler Scott,Brayan Bello,
18,James Paxton,Kutter Crawford,Brennan Bernardino,Joe Jacques,Brayan Bello,
19,Kutter Crawford,James Paxton,Brennan Bernardino,John Schreiber,Brayan Bello,
20,Kutter Crawford,James Paxton,Brennan Bernardino,Nick Pivetta,Brayan Bello,
21,Kutter Crawford,James Paxton,John Schreiber,Brennan Bernardino,Brayan Bello,
22,Kutter Crawford,Nick Pivetta,James Paxton,Chris Sale,Brayan Bello,
23,Kutter Crawford,Nick Pivetta,James Paxton,Chris Sale,,
