cycle,ace,no2,no3,no4,no5,
0,Hunter Greene,Nick Lodolo,Graham Ashcraft,Connor Overton,Luis Cessa,
1,Hunter Greene,Nick Lodolo,???,Graham Ashcraft,Luis Cessa,
2,Hunter Greene,Nick Lodolo,Connor Overton,Graham Ashcraft,Luis Cessa,
3,Hunter Greene,Nick Lodolo,Levi Stoudt,Luke Weaver,Graham Ashcraft,
4,Luis Cessa,Hunter Greene,Nick Lodolo,Luke Weaver,Graham Ashcraft,
5,Luis Cessa,Hunter Greene,Nick Lodolo,Luke Weaver,Graham Ashcraft,
6,Luis Cessa,Hunter Greene,Nick Lodolo,Graham Ashcraft,Luke Weaver,
7,Hunter Greene,Derek Law,Graham Ashcraft,Derek Law,Luke Weaver,
8,Hunter Greene,Brandon Williamson,Graham Ashcraft,Ben Lively,Luke Weaver,
9,Hunter Greene,Brandon Williamson,Graham Ashcraft,Ben Lively,Luke Weaver,
10,Hunter Greene,Brandon Williamson,Graham Ashcraft,Ben Lively,Luke Weaver,
11,Hunter Greene,Brandon Williamson,Graham Ashcraft,Ben Lively,Andrew Abbott,
12,Luke Weaver,Brandon Williamson,Graham Ashcraft,Ben Lively,Andrew Abbott,
13,Hunter Greene,Luke Weaver,Brandon Williamson,Ben Lively,Andrew Abbott,
14,Hunter Greene,Luke Weaver,Brandon Williamson,Ben Lively,Andrew Abbott,
15,Luke Weaver,Graham Ashcraft,Levi Stoudt,Brandon Williamson,Andrew Abbott,
16,Luke Weaver,Graham Ashcraft,Brandon Williamson,Andrew Abbott,Luke Weaver,
17,Brett Kennedy,Graham Ashcraft,Brandon Williamson,Andrew Abbott,Luke Weaver,
18,Ben Lively,Graham Ashcraft,Andrew Abbott,Ben Lively,Brandon Williamson,
19,Luke Weaver,Graham Ashcraft,Andrew Abbott,Ben Lively,Brandon Williamson,
20,Luke Weaver,Graham Ashcraft,Andrew Abbott,Ben Lively,Brandon Williamson,
21,Luke Weaver,Graham Ashcraft,Andrew Abbott,Ben Lively,Brandon Williamson,
22,Luke Weaver,Graham Ashcraft,Andrew Abbott,Lyon Richardson,Brandon Williamson,
23,Luke Weaver,,,,,
