cycle,ace,no2,no3,no4,no5,
0,Shane Mcclanahan,Zach Eflin,Jeffrey Springs,Drew Rasmussen,Josh Fleming,
1,Shane Mcclanahan,Zach Eflin,Jeffrey Springs,Drew Rasmussen,Jalen Beeks,
2,Shane Mcclanahan,Taj Bradley,Jeffrey Springs,Drew Rasmussen,Calvin Faucher,
3,Shane Mcclanahan,Jalen Beeks,Taj Bradley,Drew Rasmussen,Calvin Faucher,
4,Shane Mcclanahan,Zach Eflin,Taj Bradley,Drew Rasmussen,Calvin Faucher,
5,Shane Mcclanahan,Zach Eflin,Calvin Faucher,Drew Rasmussen,Javy Guerra,
6,Shane Mcclanahan,Zach Eflin,Yonny Chirinos,Drew Rasmussen,Javy Guerra,
7,Shane Mcclanahan,Zach Eflin,Jalen Beeks,Drew Rasmussen,Trevor Kelley,
8,Shane Mcclanahan,Zach Eflin,Jalen Beeks,Josh Fleming,Taj Bradley,
9,Shane Mcclanahan,Zach Eflin,Jalen Beeks,Trevor Kelley,Taj Bradley,
10,Shane Mcclanahan,Zach Eflin,Jalen Beeks,Tyler Glasnow,Josh Fleming,
11,Taj Bradley,Shane Mcclanahan,Zach Eflin,Tyler Glasnow,Taj Bradley,
12,Shane Mcclanahan,Zach Eflin,Shawn Armstrong,Yonny Chirinos,Tyler Glasnow,
13,Taj Bradley,Shane Mcclanahan,Zach Eflin,Jalen Beeks,Tyler Glasnow,
14,Taj Bradley,Shane Mcclanahan,Zach Eflin,Yonny Chirinos,Tyler Glasnow,
15,Taj Bradley,Shane Mcclanahan,Zach Eflin,Yonny Chirinos,Tyler Glasnow,
16,Taj Bradley,Zach Eflin,Zack Littell,Shane Mcclanahan,Tyler Glasnow,
17,Taj Bradley,Zach Eflin,Zack Littell,Shawn Armstrong,Tyler Glasnow,
18,Taj Bradley,Zach Eflin,Shawn Armstrong,Zach Eflin,Shane Mcclanahan,
19,Taj Bradley,Zack Littell,Tyler Glasnow,Zach Eflin,Shane Mcclanahan,
20,Taj Bradley,Tyler Glasnow,Zach Eflin,Shane Mcclanahan,Taj Bradley,
21,Zack Littell,Tyler Glasnow,Zach Eflin,Shane Mcclanahan,Zack Littell,
22,Aaron Civale,Erasmo Ramirez,Zach Eflin,Jalen Beeks,Zack Littell,
23,Aaron Civale,Shawn Armstrong,,,,
