cycle,ace,no2,no3,no4,no5,
0,Julio Urias,Dustin May,Clayton Kershaw,Noah Syndergaard,Michael Grove,
1,Julio Urias,Dustin May,Clayton Kershaw,Noah Syndergaard,Michael Grove,
2,Julio Urias,Dustin May,Clayton Kershaw,Noah Syndergaard,Michael Grove,
3,Julio Urias,Dustin May,Clayton Kershaw,Noah Syndergaard,Michael Grove,
4,Julio Urias,Dustin May,Clayton Kershaw,Noah Syndergaard,Tony Gonsolin,
5,Julio Urias,Dustin May,Clayton Kershaw,Noah Syndergaard,Tony Gonsolin,
6,Julio Urias,Gavin Stone,Clayton Kershaw,Dustin May,Julio Urias,
7,Tony Gonsolin,Noah Syndergaard,Clayton Kershaw,Dustin May,Julio Urias,
8,Tony Gonsolin,Noah Syndergaard,Clayton Kershaw,Dustin May,Julio Urias,
9,Tony Gonsolin,Noah Syndergaard,Clayton Kershaw,Gavin Stone,Bobby Miller,
10,Tony Gonsolin,Noah Syndergaard,Clayton Kershaw,Gavin Stone,Bobby Miller,
11,Tony Gonsolin,Noah Syndergaard,Clayton Kershaw,Michael Grove,Bobby Miller,
12,Tony Gonsolin,Noah Syndergaard,Clayton Kershaw,Victor Gonzalez,Bobby Miller,
13,Caleb Ferguson,Tony Gonsolin,Clayton Kershaw,Michael Grove,Emmet Sheehan,
14,Bobby Miller,Tony Gonsolin,Clayton Kershaw,Brusdar Graterol,Emmet Sheehan,
15,Bobby Miller,Tony Gonsolin,Clayton Kershaw,Michael Grove,Emmet Sheehan,
16,Bobby Miller,Julio Urias,Tony Gonsolin,Michael Grove,Emmet Sheehan,
17,Bobby Miller,Julio Urias,Tony Gonsolin,Alex Vesia,Julio Urias,
18,Tony Gonsolin,Bobby Miller,Emmet Sheehan,Michael Grove,Julio Urias,
19,Tony Gonsolin,Bobby Miller,Emmet Sheehan,Michael Grove,Julio Urias,
20,Tony Gonsolin,Bobby Miller,Emmet Sheehan,Michael Grove,Lance Lynn,
21,Tony Gonsolin,Julio Urias,Bobby Miller,Michael Grove,Lance Lynn,
22,Tony Gonsolin,Julio Urias,Bobby Miller,Clayton Kershaw,Lance Lynn,
23,Tony Gonsolin,Julio Urias,Bobby Miller,Clayton Kershaw,Lance Lynn,
24,Tony Gonsolin,Caleb Ferguson,Bobby Miller,Clayton Kershaw,Caleb Ferguson,
25,Lance Lynn,Julio Urias,Caleb Ferguson,Bobby Miller,Clayton Kershaw,
26,Ryan Pepiot,Lance Lynn,Julio Urias,Emmet Sheehan,Bobby Miller,
27,Clayton Kershaw,Lance Lynn,Ryan Pepiot,Emmet Sheehan,Bobby Miller,
28,Ryan Yarbrough,Gavin Stone,Lance Lynn,Ryan Pepiot,Bobby Miller,
29,Clayton Kershaw,Shelby Miller,Lance Lynn,Caleb Ferguson,Bobby Miller,
30,Emmet Sheehan,Caleb Ferguson,Clayton Kershaw,Lance Lynn,Caleb Ferguson,
31,Emmet Sheehan,Ryan Yarbrough,Lance Lynn,,,
