cycle,ace,no2,no3,no4,no5,
0,Marcus Stroman,Justin Steele,Jameson Taillon,Drew Smyly,Hayden Wesneski,
1,Marcus Stroman,Justin Steele,Jameson Taillon,Drew Smyly,Hayden Wesneski,
2,Marcus Stroman,Justin Steele,Jameson Taillon,Drew Smyly,Hayden Wesneski,
3,Marcus Stroman,Justin Steele,Javier Assad,Drew Smyly,Hayden Wesneski,
4,Marcus Stroman,Justin Steele,Drew Smyly,Hayden Wesneski,Marcus Stroman,
5,Caleb Kilian,Justin Steele,Drew Smyly,Hayden Wesneski,Marcus Stroman,
6,Jameson Taillon,Justin Steele,Drew Smyly,Hayden Wesneski,Marcus Stroman,
7,Jameson Taillon,Justin Steele,Drew Smyly,Hayden Wesneski,Marcus Stroman,
8,Jameson Taillon,Justin Steele,Drew Smyly,Marcus Stroman,Jameson Taillon,
9,Justin Steele,Drew Smyly,Marcus Stroman,Kyle Hendricks,Justin Steele,
10,Jameson Taillon,Drew Smyly,Marcus Stroman,Kyle Hendricks,Justin Steele,
11,Jameson Taillon,Drew Smyly,Marcus Stroman,Kyle Hendricks,Hayden Wesneski,
12,Jameson Taillon,Drew Smyly,Marcus Stroman,Kyle Hendricks,Hayden Wesneski,
13,Jameson Taillon,Drew Smyly,Marcus Stroman,Kyle Hendricks,Justin Steele,
14,Jameson Taillon,Drew Smyly,Marcus Stroman,Kyle Hendricks,Justin Steele,
15,Marcus Stroman,Jameson Taillon,Drew Smyly,Kyle Hendricks,Justin Steele,
16,Marcus Stroman,Jameson Taillon,Drew Smyly,Kyle Hendricks,Justin Steele,
17,Marcus Stroman,Jameson Taillon,Drew Smyly,Kyle Hendricks,Kyle Hendricks,
18,Marcus Stroman,Justin Steele,Drew Smyly,Jameson Taillon,Kyle Hendricks,
19,Marcus Stroman,Justin Steele,Michael Fulmer,Jameson Taillon,Kyle Hendricks,
20,Marcus Stroman,Justin Steele,Hayden Wesneski,Jameson Taillon,Kyle Hendricks,
21,Marcus Stroman,Justin Steele,Drew Smyly,Jameson Taillon,Kyle Hendricks,
22,Javier Assad,Justin Steele,Drew Smyly,Jameson Taillon,Kyle Hendricks,
23,Javier Assad,,,,,
