cycle,ace,no2,no3,no4,no5,
0,Zac Gallen,Merrill Kelly,Madison Bumgarner,Zach Davies,Ryne Nelson,
1,Zac Gallen,Merrill Kelly,Madison Bumgarner,Zach Davies,Ryne Nelson,
2,Zac Gallen,Merrill Kelly,Drey Jameson,Madison Bumgarner,Ryne Nelson,
3,Zac Gallen,Merrill Kelly,Drey Jameson,Madison Bumgarner,Ryne Nelson,
4,Zac Gallen,Merrill Kelly,Drey Jameson,Tommy Henry,Ryne Nelson,
5,Zac Gallen,Merrill Kelly,Tommy Henry,Ryne Nelson,Zac Gallen,
6,Brandon Pfaadt,Merrill Kelly,Tommy Henry,Ryne Nelson,Zac Gallen,
7,Brandon Pfaadt,Merrill Kelly,Tommy Henry,Ryne Nelson,Zac Gallen,
8,Brandon Pfaadt,Merrill Kelly,Tommy Henry,Ryne Nelson,Zac Gallen,
9,Brandon Pfaadt,Merrill Kelly,Tommy Henry,Ryne Nelson,Zac Gallen,
10,Brandon Pfaadt,Zach Davies,Merrill Kelly,Ryne Nelson,Zac Gallen,
11,Tommy Henry,Zach Davies,Merrill Kelly,Ryne Nelson,Zac Gallen,
12,Tommy Henry,Zach Davies,Merrill Kelly,Ryne Nelson,Zac Gallen,
13,Tommy Henry,Zach Davies,Merrill Kelly,Ryne Nelson,Zac Gallen,
14,Tommy Henry,Zach Davies,Merrill Kelly,Ryne Nelson,Zac Gallen,
15,Tommy Henry,Zach Davies,Merrill Kelly,Ryne Nelson,Zac Gallen,
16,Zach Davies,Brandon Pfaadt,Tommy Henry,Ryne Nelson,Zac Gallen,
17,Zach Davies,Tommy Henry,???,Zac Gallen,Kyle Nelson,
18,Zach Davies,Ryne Nelson,Zac Gallen,Tommy Henry,Zach Davies,
19,Ryne Nelson,Zac Gallen,Tommy Henry,Brandon Pfaadt,Jose Ruiz,
20,Ryne Nelson,Merrill Kelly,Zac Gallen,Tommy Henry,Brandon Pfaadt,
21,Merrill Kelly,Ryne Nelson,Zac Gallen,Slade Cecconi,Brandon Pfaadt,
22,Merrill Kelly,Ryne Nelson,Zac Gallen,Brandon Pfaadt,Merrill Kelly,
23,Ryne Nelson,Zac Gallen,Brandon Pfaadt,Merrill Kelly,Joe Mantiply,
