cycle,ace,no2,no3,no4,no5,
0,Luis Castillo,Robbie Ray,Logan Gilbert,Marco Gonzales,George Kirby,
1,Luis Castillo,Chris Flexen,Logan Gilbert,Marco Gonzales,George Kirby,
2,Luis Castillo,Chris Flexen,Logan Gilbert,Tommy Milone,George Kirby,
3,Luis Castillo,Chris Flexen,Logan Gilbert,Marco Gonzales,George Kirby,
4,Luis Castillo,Chris Flexen,Marco Gonzales,Logan Gilbert,George Kirby,
5,Luis Castillo,Easton Mcgee,Marco Gonzales,Bryce Miller,Logan Gilbert,
6,George Kirby,Luis Castillo,Marco Gonzales,Bryce Miller,Logan Gilbert,
7,George Kirby,Luis Castillo,Marco Gonzales,Bryce Miller,Logan Gilbert,
8,George Kirby,Luis Castillo,Marco Gonzales,Bryce Miller,Logan Gilbert,
9,George Kirby,Luis Castillo,Marco Gonzales,Bryce Miller,Logan Gilbert,
10,George Kirby,Luis Castillo,Marco Gonzales,Bryce Miller,Logan Gilbert,
11,George Kirby,Luis Castillo,Bryan Woo,Bryce Miller,Logan Gilbert,
12,George Kirby,Luis Castillo,Bryan Woo,Logan Gilbert,Bryce Miller,
13,George Kirby,Luis Castillo,Bryan Woo,Logan Gilbert,Bryce Miller,
14,George Kirby,Luis Castillo,Bryan Woo,Logan Gilbert,Bryce Miller,
15,George Kirby,Luis Castillo,Bryan Woo,Logan Gilbert,Bryce Miller,
16,George Kirby,Luis Castillo,Bryan Woo,Logan Gilbert,Tommy Milone,
17,George Kirby,???,Bryan Woo,Logan Gilbert,Luis Castillo,
18,George Kirby,Bryce Miller,Logan Gilbert,Bryan Woo,Luis Castillo,
19,George Kirby,Bryce Miller,Logan Gilbert,Bryan Woo,Luis Castillo,
20,George Kirby,Bryce Miller,Logan Gilbert,Bryan Woo,Luis Castillo,
21,George Kirby,Bryce Miller,Logan Gilbert,Bryan Woo,Luis Castillo,
22,George Kirby,Bryce Miller,Logan Gilbert,Emerson Hancock,Luis Castillo,
23,George Kirby,Bryce Miller,Logan Gilbert,Emerson Hancock,Luis Castillo,
24,George Kirby,Bryce Miller,Logan Gilbert,Emerson Hancock,Luis Castillo,
25,Bryan Woo,George Kirby,Bryce Miller,Logan Gilbert,Luis Castillo,
26,Bryan Woo,Luke Weaver,Bryce Miller,Logan Gilbert,Luis Castillo,
27,George Kirby,Bryan Woo,Bryce Miller,Logan Gilbert,Luis Castillo,
28,George Kirby,Trent Thornton,Bryce Miller,Logan Gilbert,Bryan Woo,
29,Luis Castillo,George Kirby,Bryce Miller,Logan Gilbert,Bryan Woo,
30,Luis Castillo,George Kirby,Bryce Miller,Logan Gilbert,Bryan Woo,
31,Luis Castillo,George Kirby,Bryce Miller,Logan Gilbert,,
